"","Subject","Image","Threatened_Rating","Surprise_Rating","Suffering_Rating","SociallyAcceptable_Rating","Sadness_Rating","Relate_Rating","Pleasant_Rating","Narrative_Rating","Joy_Rating","Interact_Rating","Immoral_Rating","Fear_Rating","Disgust_Rating","Desire_Rating","Contamination_Rating","Avoid_Rating","Astonished_Rating","Anger_Rating","Affection_Rating"
"304","sub-sid000926","AC-catch.jpg",19.6564818,48.30264175,49.69486597,51.19027869,46.14870938,13.70950579,69.8449702,67.02478189,54.00068174,5.865793254,7.673121518,67.07858463,62.55471139,40.04206373,16.85194259,55.0500533,41.88989976,50.9183802,40.55437254
"305","sub-sid000971","AC-catch.jpg",0.024110901,3.423645548,7.460748765,94.16125458,34.61534861,11.70591827,77.91697183,83.63430521,67.99256561,9.910079046,3.62782262,46.14901977,40.52190022,7.148237117,5.930113122,55.13283879,56.41286956,46.05280939,8.390300643
"306","sub-sid000120","AC-catch.jpg",5.351677933,0.765873915,1.951972652,78.13559455,55.45578494,6.428054432,71.65182246,65.95553365,49.68982416,1.109066983,-0.149357417,59.70452008,64.48355722,5.071174589,5.908339255,38.3448337,62.57959976,37.43890277,5.683577294
"307","sub-sid000976","AC-catch.jpg",0.896058601,-5.19102726,8.67110133,95.6072154,44.02349207,2.727262314,74.15220365,72.28380039,48.90926795,10.5512233,-0.834302063,58.60924666,52.71887264,4.808580455,-0.335501183,43.37061631,67.14504472,0.755602959,0.098802308
"308","sub-sid000922","AC-catch.jpg",2.250488075,8.743906452,23.10994279,81.75963307,42.9581055,16.69364649,65.84111075,63.00107229,42.39897848,12.85818872,3.51635104,57.51670228,31.64894393,8.007339909,5.699775089,42.38162376,54.6212061,35.17634142,9.821455405
"309","sub-sid000954","AC-catch.jpg",0.661105965,-1.073862698,14.59051942,85.93401269,66.0625565,-3.699014867,77.13654702,84.72356766,98.83373605,0.16021478,6.020038673,98.89178536,78.48314708,7.404340526,1.153331138,99.74375374,90.05000733,64.0768785,14.12105335
"310","sub-sid000866","AC-catch.jpg",11.90056787,12.9816492,16.93782806,78.56786927,36.29853912,32.95404091,70.04940291,79.91197102,50.65238041,6.690418887,6.212218602,33.17484831,56.09150181,12.09219883,9.879359162,46.91472668,68.1572698,72.93092063,-1.464134314
"311","sub-sid000878","AC-catch.jpg",-0.525202041,0.670458279,10.63582395,89.7580655,30.04662071,2.741669468,74.76650823,85.94098603,39.17270061,9.722912382,0.836994667,44.69456511,61.2302046,2.674548078,0.284005553,32.33742858,54.2169219,68.58607694,7.833399323
"312","sub-sid000889","AC-catch.jpg",4.730636953,7.75061904,-5.864485311,98.32844164,58.7095015,16.29380861,59.94842008,99.76945688,71.15140575,1.257704518,0.393990909,72.82230212,55.96163072,6.29360963,-0.403101856,95.47094995,71.92130136,75.47145096,-3.767160035
"313","sub-sid000880","AC-catch.jpg",-3.642967206,0.457986704,-0.161570964,84.73323079,41.74852265,9.724662325,71.45118361,98.47352991,40.33428063,7.947724381,-0.450473964,60.4633274,51.8335666,5.470580888,-0.766904251,61.86940064,45.16491479,40.13187072,10.70718261
"314","sub-sid000973","AC-catch.jpg",17.80203676,12.30257991,9.291972145,84.79560996,28.9597666,61.63320941,73.1610883,61.68809328,18.66296017,5.742573324,12.96035294,17.84610677,64.87724642,31.03809696,17.92101415,22.04444278,30.31399427,42.28105421,32.16525168
"315","sub-sid000765","AC-catch.jpg",0.835595803,0.065415581,9.445889175,106.9809235,45.60753938,0.468580948,76.30817714,80.95845059,59.5609405,7.968286825,0.490977951,48.2466373,61.94572638,4.385770584,-3.766065416,76.29766585,61.07240763,44.04420739,16.08197809
"316","sub-sid000499","AC-catch.jpg",2.982887737,13.61879343,15.08345257,81.29509765,42.09038678,48.79299817,64.65446775,66.23643455,39.55728881,20.602,4.603602491,34.10415103,58.26677581,13.03055761,-1.373522081,48.93059081,50.84213459,50.22953521,0.978179273
"317","sub-sid000879","AC-catch.jpg",19.96477349,30.66304483,27.57093615,72.60554874,47.05600396,41.51395008,58.8555141,57.03267383,67.27329597,22.71550209,21.18272198,29.40592224,46.31529426,30.02151337,17.09301883,44.91030169,63.78022082,46.30231835,25.71867524
"318","sub-sid000013","AC-catch.jpg",12.44901419,39.20034557,11.76512565,73.58398657,13.27510155,2.446136786,70.44703189,68.36737444,36.12860714,43.1581936,1.061858644,34.13242331,27.70979729,41.06307848,12.97466027,43.80925497,38.33312074,4.217648477,-5.756429402
"319","sub-sid000955","AC-catch.jpg",9.13267851,10.66959938,6.160551856,85.04205891,53.84767373,17.19365116,90.3302757,87.69828702,58.11956352,6.460370899,3.62878105,68.47644423,72.61210506,18.61121823,-2.743771166,56.29231638,66.94792925,29.13819022,10.8420786
"320","sub-sid000876","AC-catch.jpg",13.82153539,8.985534684,31.36710377,93.44343882,32.97515219,9.940481692,71.57177867,67.73519527,49.79991611,6.208258703,11.14488105,57.85030374,42.44887185,6.087147377,14.39786318,28.34009774,63.58226235,67.89638373,23.37005363
"321","sub-sid000710","AC-catch.jpg",9.843454097,5.058590939,33.06957083,86.94063644,40.96881468,2.843766374,74.50830257,64.84523681,85.64007875,4.631600142,0.742734771,35.87146979,39.81674074,-2.890718876,0.428442541,57.66789556,66.57234251,45.04591434,3.596132763
"322","sub-sid000869","AC-catch.jpg",0.317172699,6.95644722,3.669066066,78.18167215,64.32831346,1.304503202,74.98246827,57.19709317,33.06462968,3.340551899,-5.702716347,45.58034852,67.58523189,4.142112012,7.567172706,49.41708482,63.2926931,64.93661686,0.592044375
"323","sub-sid000959","AC-catch.jpg",1.616259928,10.02731069,94.4467635,100.0392972,67.9245155,0.691250093,79.43835925,95.12741221,68.39896841,9.502198114,1.909670072,47.65844251,20.61169085,3.50404118,0.281972776,31.42976545,99.25791084,40.34659653,2.60723384
"324","sub-sid000974","AC-catch.jpg",9.86475486,15.37600072,4.36989827,89.87644594,47.77309521,7.351747729,65.62260584,58.53633345,28.7115966,2.631423602,1.081814107,44.25206854,38.58065046,3.099374637,3.670400754,45.47271801,74.64079675,42.44833414,6.430438113
